OrderID,Date,CustomerID,Quantity,UnitPrice,ShippingAddress,TrackingNumber,ItemsInCart,CouponCode,TotalPrice,price_to_cart_ratio,order_month,has_coupon,discount_tier,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
ORD200000,2023-01-04,C72649,5,570.62,928 Main St,TRK37947903,7,SAVE10,2853.1,81.51714285714286,1,1,10.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ORD200001,2024-08-23,C75739,2,151.35,823 Main St,TRK91186779,3,SAVE10,302.7,50.449999999999996,8,1,10.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ORD200002,2024-02-27,C81728,5,550.68,512 Main St,TRK42903982,8,FREESHIP,2753.4,68.835,2,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ORD200003,2023-10-15,C33540,1,273.19,275 Main St,TRK62788070,5,SAVE10,273.19,54.638,10,1,10.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
ORD200004,2025-05-08,C81840,4,626.01,668 Main St,TRK29241424,8,SAVE10,2504.04,78.25125,5,1,10.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
ORD200005,2023-10-23,C37249,2,245.86,934 Main St,TRK72976927,4,SAVE10,491.72,61.465,10,1,10.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
ORD200006,2025-06-17,C83492,1,664.42,986 Main St,TRK96417362,6,SAVE10,664.42,110.73666666666666,6,1,10.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
ORD200007,2023-05-12,C41460,5,149.55,706 Main St,TRK78809193,9,FREESHIP,747.75,16.616666666666667,5,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ORD200008,2025-04-02,C26817,2,134.28,904 Main St,TRK61042692,2,MISSING,268.56,67.14,4,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD200009,2023-11-21,C31946,4,509.38,102 Main St,TRK33478363,6,SAVE10,2037.52,84.89666666666666,11,1,10.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
ORD200010,2023-12-29,C43443,5,625.97,333 Main St,TRK98859248,9,WINTER15,3129.85,69.55222222222223,12,1,15.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
ORD200011,2024-02-17,C93861,3,49.14,831 Main St,TRK48234646,7,SAVE10,147.42,7.0200000000000005,2,1,10.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
